Superhôte,Autres,ttest_p,significance
51.81529549787359,15.528150178041056,0.0,***
4.358713887666814,2.8009164601828007,0.0,***
0.896025810236105,0.5976436225201425,0.0,***
7.583883267341252,6.565071134375872,1.1727887968516817e-193,***
0.5208241677665347,0.41366239477527444,1.1197018578294958e-112,***
27.517891186390965,25.058449976206497,6.086038929289065e-08,***
0.9501246517084616,0.6265466598841501,0.0,***
0.9617979175832233,0.677835939679362,0.0,***
0.43298137556826516,0.33379826389458656,1.121007399597133e-99,***
266.6160727379381,294.1012782855549,3.154205028698314e-05,***
9.56203255609327,10.857714838942584,1.0872047549640726e-49,***
1.4010852031089602,0.5456753253146486,0.0,***
6.006012611819915,10.864491885594264,1.7466257940428544e-103,***
