host_id,time,in_paris,has_face,nb_face,face_area_ratio,clean_score,lifestyle_score,host_picture_type
11535647,2306,0,1,1,0.09307654320987654,0.1386348456144333,0.14602386951446533,life_style
9409420,2306,0,1,1,0.01260246913580247,0.023956747725605965,0.23203244805335999,life_style
222363410,2306,0,1,1,0.26508641975308644,0.3272813856601715,0.004538948182016611,pro_style
79823074,2306,0,1,1,0.009382716049382716,0.2627004086971283,0.05297468230128288,pro_style
400346818,2306,0,1,1,0.12481975308641975,0.2528671324253082,0.06034964323043823,pro_style
250889417,2306,0,1,1,0.14131358024691357,0.24720071256160736,0.06459948420524597,pro_style
14245970,2306,0,1,1,0.07146666666666666,0.13220369815826416,0.15084721148014069,life_style
5034013,2306,0,1,1,0.31492345679012346,0.17046959698200226,0.1221478134393692,pro_style
504845651,2306,0,0,0,0.0,0.0,0.0,no_person
254282902,2306,0,1,2,0.2501333333333333,0.0,0.0,life_style
344798381,2306,0,1,1,0.22168888888888888,0.28326037526130676,0.03755471855401993,pro_style
16811046,2306,0,1,1,0.14305185185185185,0.21306246519088745,0.09020314365625381,pro_style
1716122,2306,0,1,4,0.08266666666666667,0.0,0.0,life_style
68034226,2306,0,0,0,0.0,0.0,0.0,no_person
355359645,2306,0,1,1,0.17564444444444444,0.2782977521419525,0.04127667471766472,pro_style
122012006,2306,0,1,1,0.008177777777777779,0.002515213331207633,0.24811357259750366,life_style
186281636,2306,0,1,1,0.12811851851851852,0.1203189492225647,0.15976078808307648,life_style
36780396,2306,0,1,1,0.5613037037037037,0.3305903375148773,0.0020572596695274115,pro_style
11881819,2306,0,1,1,0.18731851851851852,0.2833869457244873,0.037459779530763626,pro_style
127618497,2306,0,1,1,0.04940246913580247,0.008717373944818974,0.2434619963169098,life_style
1909052,2306,0,1,1,0.10014814814814815,0.27928218245506287,0.040538374334573746,pro_style
294301704,2306,0,1,1,0.052148148148148145,0.33176761865615845,0.001174282282590866,pro_style
112924732,2306,0,0,0,0.0,0.0,0.0,no_person
38533491,2306,0,0,0,0.0,0.0,0.0,no_person
11750948,2306,0,1,1,0.1561283950617284,0.1467406302690506,0.13994450867176056,pro_style
470410517,2306,0,1,1,0.06749629629629629,0.047050487250089645,0.21471214294433594,life_style
508393593,2306,0,1,3,0.052148148148148145,0.0,0.0,life_style
229577067,2306,0,0,0,0.0,0.0,0.0,no_person
234953224,2306,0,1,1,0.2314074074074074,0.2597401440143585,0.0551949217915535,pro_style
399472890,2306,0,1,1,0.18903703703703703,0.32835903763771057,0.0037307182792574167,pro_style
48495726,2306,0,1,1,0.011733333333333333,0.0727778747677803,0.19541659951210022,life_style
513979631,2306,0,0,0,0.0,0.0,0.0,no_person
77056201,2306,0,1,1,0.13226666666666667,0.24838948249816895,0.06370791047811508,pro_style
513754101,2306,0,0,0,0.0,0.0,0.0,no_person
459928224,2306,0,1,1,0.028207407407407407,0.007298845332115889,0.24452586472034454,life_style
12446098,2306,0,1,1,0.41025185185185187,0.29427269101142883,0.029295479878783226,pro_style
22429983,2306,0,1,6,0.13285925925925926,0.0,0.0,life_style
33644434,2306,0,1,1,0.01925925925925926,0.020258376374840736,0.23480620980262756,life_style
512945426,2306,0,1,2,0.27211851851851854,0.0,0.0,life_style
102874292,2306,0,1,1,0.011733333333333333,0.12211830168962479,0.15841127932071686,life_style
511859364,2306,0,0,0,0.0,0.0,0.0,no_person
336317201,2306,0,1,2,0.22455308641975308,0.0,0.0,life_style
96863573,2306,0,1,1,0.07466666666666667,0.13109268248081207,0.15168049931526184,life_style
96674554,2306,0,0,0,0.0,0.0,0.0,no_person
422274057,2306,0,1,2,0.10374320987654322,0.0,0.0,life_style
203696931,2306,0,1,1,0.26008888888888887,0.3131599724292755,0.015130002051591873,pro_style
60049358,2306,0,1,1,0.1265777777777778,0.08203136920928955,0.18847647309303284,life_style
5277268,2306,0,1,1,0.05848888888888889,0.2662220895290375,0.05033344030380249,pro_style
513998550,2306,0,1,2,0.1661037037037037,0.0,0.0,life_style
513800259,2306,0,1,2,0.3215802469135802,0.0,0.0,life_style
116962978,2306,0,1,1,0.061451851851851855,0.11709233373403549,0.16218076646327972,life_style
78794835,2306,0,1,2,0.35298765432098766,0.0,0.0,life_style
71804496,2306,0,0,0,0.0,0.0,0.0,no_person
33750163,2306,0,1,1,0.09070617283950617,0.20435194671154022,0.09673604369163513,pro_style
199724950,2306,0,0,0,0.0,0.0,0.0,no_person
99222857,2306,0,1,1,0.28744691358024693,0.02994978427886963,0.22753766179084778,life_style
5156610,2306,0,1,1,0.1824,0.3254185914993286,0.005936057772487402,pro_style
418166242,2306,0,0,0,0.0,0.0,0.0,no_person
5396018,2306,0,1,2,0.5502814814814815,0.0,0.0,life_style
1444374,2306,0,1,1,0.04424691358024691,0.2533138394355774,0.06001461297273636,pro_style
414251769,2306,0,1,2,0.040237037037037036,0.0,0.0,life_style
498189470,2306,0,0,0,0.0,0.0,0.0,no_person
66891969,2306,0,1,1,0.3561283950617284,0.2824205458164215,0.038184598088264465,pro_style
298841848,2306,0,1,1,0.4178962962962963,0.17445720732212067,0.1191571056842804,pro_style
188847107,2306,0,1,1,0.2657185185185185,0.2039187103509903,0.09706094115972519,pro_style
49568292,2306,0,1,1,0.03828148148148148,0.02969234436750412,0.22773075103759766,life_style
513808122,2306,0,1,1,0.20906666666666668,0.3293894827365875,0.0029578672256320715,pro_style
87354172,2306,0,1,1,0.062459259259259256,0.1283293515443802,0.15375298261642456,life_style
459051025,2306,0,0,0,0.0,0.0,0.0,no_person
16271900,2306,0,1,3,0.16987654320987655,0.0,0.0,life_style
67950232,2306,0,1,1,0.25837037037037036,0.10603190213441849,0.1704760640859604,life_style
287094261,2306,0,0,0,0.0,0.0,0.0,no_person
3722837,2306,0,1,1,0.09852839506172839,0.32882699370384216,0.0033797493670135736,pro_style
139139973,2306,0,1,2,0.09491358024691358,0.0,0.0,life_style
513876034,2306,0,0,0,0.0,0.0,0.0,no_person
13949769,2306,0,1,1,0.24335802469135803,0.24710090458393097,0.06467432528734207,pro_style
12803273,2306,0,1,1,0.025106172839506172,0.055992525070905685,0.2080056071281433,life_style
513884785,2306,0,0,0,0.0,0.0,0.0,no_person
424469671,2306,0,1,1,0.17050864197530866,0.323699027299881,0.007225732319056988,pro_style
513624747,2306,0,0,0,0.0,0.0,0.0,no_person
23736880,2306,0,1,1,0.1785679012345679,0.3322086036205292,0.0008435417548753321,pro_style
21000190,2306,0,1,1,0.004977777777777778,0.0003575496084522456,0.24973183870315552,life_style
513722860,2306,0,1,1,0.008177777777777779,0.10705427080392838,0.16970929503440857,life_style
17035958,2306,0,1,1,0.10702222222222223,0.3182503283023834,0.011312246322631836,pro_style
211461951,2306,0,1,1,0.21580246913580248,0.16570840775966644,0.12571868300437927,pro_style
507875531,2306,0,0,0,0.0,0.0,0.0,no_person
36359194,2306,0,0,0,0.0,0.0,0.0,no_person
79546385,2306,0,1,2,0.14561975308641975,0.0,0.0,life_style
7318840,2306,0,1,1,0.2535901234567901,0.2312581092119217,0.07655641436576843,pro_style
28173652,2306,0,1,2,0.04165925925925926,0.0,0.0,life_style
57004694,2306,0,1,1,0.33327407407407406,0.33082202076911926,0.0018834625370800495,pro_style
13895975,2306,0,1,1,0.08557037037037037,0.17555522918701172,0.11833355575799942,pro_style
428492253,2306,0,0,0,0.0,0.0,0.0,no_person
2251105,2306,0,1,2,0.5742617283950617,0.0,0.0,life_style
11196191,2306,0,1,1,0.08624197530864197,0.3240165412425995,0.006987596862018108,pro_style
483165574,2306,0,1,1,0.11448888888888889,0.09157728403806686,0.1813170462846756,life_style
513964874,2306,0,1,1,0.25552592592592593,0.3284982740879059,0.003626314690336585,pro_style
514133437,2306,0,1,1,0.04819753086419753,0.0447089783847332,0.21646827459335327,life_style
514085023,2306,0,0,0,0.0,0.0,0.0,no_person
421589894,2306,0,1,1,0.21866666666666668,0.10648465901613235,0.17013652622699738,life_style
37135815,2306,0,1,1,0.3191506172839506,0.3138955533504486,0.014578322879970074,pro_style
513965158,2306,0,1,1,0.19735308641975308,0.2657909691333771,0.050656769424676895,pro_style
7653971,2306,0,1,1,0.12582716049382717,0.02775631658732891,0.22918276488780975,life_style
46616766,2306,0,1,1,0.147120987654321,0.33191606402397156,0.0010629482567310333,pro_style
467745580,2306,0,1,1,0.007901234567901235,0.0007376838475465775,0.24944671988487244,life_style
30288296,2306,0,1,1,0.09509135802469136,0.3285239338874817,0.0036070675123482943,pro_style
248623121,2306,0,0,0,0.0,0.0,0.0,no_person
49029419,2306,0,1,1,0.03911111111111111,0.011163346469402313,0.241627499461174,life_style
423251936,2306,0,0,0,0.0,0.0,0.0,no_person
514146914,2306,0,1,1,0.03828148148148148,0.3323207199573517,0.0007594178896397352,pro_style
88444702,2306,0,1,1,0.15012345679012346,0.040750596672296524,0.21943704783916473,life_style
18138941,2306,0,1,1,0.22411851851851852,0.3251861035823822,0.006110412534326315,pro_style
514302017,2306,0,1,1,0.491279012345679,0.2888479232788086,0.03336406871676445,pro_style
282569271,2306,0,1,1,0.06291358024691358,0.2526302635669708,0.06052730232477188,pro_style
70537483,2306,0,1,2,0.14546172839506172,0.0,0.0,life_style
499213336,2306,0,1,1,0.0019555555555555554,0.02976725436747074,0.22767455875873566,life_style
118848152,2306,0,1,2,0.4085925925925926,0.0,0.0,life_style
512011801,2306,0,1,1,0.14275555555555555,0.332063227891922,0.000952542235609144,pro_style
64608435,2306,0,1,2,0.3737679012345679,0.0,0.0,life_style
